station,lead_h,bin_lo,bin_hi,n,mean_pred,obs_wet_frac,model
Bellever,48,0.9,1.0,8,0.9725768062632447,1.0,phase3b_joint_hierarchy
Bellever,72,0.1,0.2,1508,0.1556779548260413,0.11538461538461539,phase3b_joint_hierarchy
Bellever,72,0.2,0.30000000000000004,254,0.2384952264066851,0.4251968503937008,phase3b_joint_hierarchy
Bellever,72,0.30000000000000004,0.4,63,0.34265261949660447,0.6666666666666666,phase3b_joint_hierarchy
Bellever,72,0.4,0.5,38,0.44281462383002773,0.5263157894736842,phase3b_joint_hierarchy
Bellever,72,0.5,0.6000000000000001,21,0.5487791784635465,0.5238095238095238,phase3b_joint_hierarchy
Bellever,72,0.6000000000000001,0.7000000000000001,32,0.6476537738171401,0.53125,phase3b_joint_hierarchy
Bellever,72,0.7000000000000001,0.8,17,0.7468254160866854,0.7647058823529411,phase3b_joint_hierarchy
Bellever,72,0.8,0.9,18,0.8508536660551012,0.6666666666666666,phase3b_joint_hierarchy
Bellever,72,0.9,1.0,39,0.9531371308936667,0.7948717948717948,phase3b_joint_hierarchy
Princetown,24,0.1,0.2,1547,0.14508921607510847,0.13186813186813187,phase3b_joint_hierarchy
Princetown,24,0.2,0.30000000000000004,246,0.23891413412933832,0.35365853658536583,phase3b_joint_hierarchy
Princetown,24,0.30000000000000004,0.4,80,0.3428390634094124,0.55,phase3b_joint_hierarchy
Princetown,24,0.4,0.5,82,0.4543592859996137,0.6097560975609756,phase3b_joint_hierarchy
Princetown,24,0.5,0.6000000000000001,57,0.5496293071274064,0.5263157894736842,phase3b_joint_hierarchy
Princetown,24,0.6000000000000001,0.7000000000000001,44,0.6376132838625556,0.5909090909090909,phase3b_joint_hierarchy
Princetown,24,0.7000000000000001,0.8,58,0.7517363670227805,0.6896551724137931,phase3b_joint_hierarchy
Princetown,24,0.8,0.9,58,0.8541988295742504,0.5344827586206896,phase3b_joint_hierarchy
Princetown,24,0.9,1.0,342,0.9811850741416299,0.8099415204678363,phase3b_joint_hierarchy
Princetown,48,0.0,0.1,335,0.04508539608943355,0.608955223880597,phase3b_joint_hierarchy
Princetown,48,0.1,0.2,1702,0.16199772990062034,0.1891891891891892,phase3b_joint_hierarchy
Princetown,48,0.2,0.30000000000000004,252,0.23037724900407616,0.43253968253968256,phase3b_joint_hierarchy
Princetown,48,0.30000000000000004,0.4,73,0.3484407885165825,0.6164383561643836,phase3b_joint_hierarchy
Princetown,48,0.4,0.5,32,0.44790200736680563,0.5,phase3b_joint_hierarchy
Princetown,48,0.5,0.6000000000000001,32,0.5571975165298726,0.71875,phase3b_joint_hierarchy
Princetown,48,0.6000000000000001,0.7000000000000001,32,0.6542653606646516,0.78125,phase3b_joint_hierarchy
Princetown,48,0.7000000000000001,0.8,21,0.7413392392665072,0.9047619047619048,phase3b_joint_hierarchy
Princetown,48,0.8,0.9,19,0.8629314438317679,0.8421052631578947,phase3b_joint_hierarchy
Princetown,48,0.9,1.0,16,0.9336277148492538,0.625,phase3b_joint_hierarchy
Princetown,72,0.1,0.2,1323,0.17590540146876196,0.14965986394557823,phase3b_joint_hierarchy
Princetown,72,0.2,0.30000000000000004,545,0.23585692428980273,0.3467889908256881,phase3b_joint_hierarchy
Princetown,72,0.30000000000000004,0.4,165,0.3402712350919633,0.503030303030303,phase3b_joint_hierarchy
Princetown,72,0.4,0.5,101,0.4483550657634486,0.6138613861386139,phase3b_joint_hierarchy
Princetown,72,0.5,0.6000000000000001,96,0.5477952274040226,0.65625,phase3b_joint_hierarchy
Princetown,72,0.6000000000000001,0.7000000000000001,83,0.6463129960208968,0.5662650602409639,phase3b_joint_hierarchy
Princetown,72,0.7000000000000001,0.8,56,0.7612003140144293,0.75,phase3b_joint_hierarchy
Princetown,72,0.8,0.9,58,0.8437015626529834,0.6379310344827587,phase3b_joint_hierarchy
Princetown,72,0.9,1.0,87,0.9627730464705988,0.7816091954022989,phase3b_joint_hierarchy
Hexworthy,24,0.1,0.2,1506,0.1368692058591971,0.1148738379814077,phase3b_joint_hierarchy
Hexworthy,24,0.2,0.30000000000000004,180,0.24100236816018644,0.4444444444444444,phase3b_joint_hierarchy
Hexworthy,24,0.30000000000000004,0.4,56,0.3441440198424593,0.6964285714285714,phase3b_joint_hierarchy
Hexworthy,24,0.4,0.5,36,0.44955869833347595,0.75,phase3b_joint_hierarchy
Hexworthy,24,0.5,0.6000000000000001,40,0.5501790750923639,0.65,phase3b_joint_hierarchy
Hexworthy,24,0.6000000000000001,0.7000000000000001,20,0.6467652553247217,0.55,phase3b_joint_hierarchy
Hexworthy,24,0.7000000000000001,0.8,36,0.7609107888493886,0.6944444444444444,phase3b_joint_hierarchy
Hexworthy,24,0.8,0.9,39,0.8485734070126905,0.6923076923076923,phase3b_joint_hierarchy
Hexworthy,24,0.9,1.0,112,0.9753199240062617,0.8303571428571429,phase3b_joint_hierarchy
Hexworthy,48,0.0,0.1,148,0.04755750800307004,0.43243243243243246,phase3b_joint_hierarchy
Hexworthy,48,0.1,0.2,1597,0.15945358705683693,0.15904821540388228,phase3b_joint_hierarchy
Hexworthy,48,0.2,0.30000000000000004,188,0.2292372855265692,0.5638297872340425,phase3b_joint_hierarchy
Hexworthy,48,0.30000000000000004,0.4,34,0.35292910169914954,0.6764705882352942,phase3b_joint_hierarchy
Hexworthy,48,0.4,0.5,11,0.45369213999213437,0.6363636363636364,phase3b_joint_hierarchy
Hexworthy,48,0.5,0.6000000000000001,8,0.5511970902603749,1.0,phase3b_joint_hierarchy
Hexworthy,48,0.6000000000000001,0.7000000000000001,10,0.6654853194216565,1.0,phase3b_joint_hierarchy
Hexworthy,48,0.7000000000000001,0.8,15,0.7419090804240726,1.0,phase3b_joint_hierarchy
Hexworthy,48,0.8,0.9,7,0.8396633372023563,1.0,phase3b_joint_hierarchy
Hexworthy,48,0.9,1.0,7,0.9780649735777095,1.0,phase3b_joint_hierarchy
Hexworthy,72,0.1,0.2,1199,0.16332222058170476,0.12176814011676397,phase3b_joint_hierarchy
Hexworthy,72,0.2,0.30000000000000004,555,0.22705600067738446,0.33693693693693694,phase3b_joint_hierarchy
Hexworthy,72,0.30000000000000004,0.4,81,0.34433017178576586,0.6666666666666666,phase3b_joint_hierarchy
Hexworthy,72,0.4,0.5,36,0.44824453639622014,0.4166666666666667,phase3b_joint_hierarchy
Hexworthy,72,0.5,0.6000000000000001,26,0.5520378841208857,0.6538461538461539,phase3b_joint_hierarchy
Hexworthy,72,0.6000000000000001,0.7000000000000001,30,0.6493727802065398,0.7,phase3b_joint_hierarchy
Hexworthy,72,0.7000000000000001,0.8,13,0.7473973916798424,0.7692307692307693,phase3b_joint_hierarchy
Hexworthy,72,0.8,0.9,25,0.854731684931007,0.8,phase3b_joint_hierarchy
Hexworthy,72,0.9,1.0,26,0.9464763691916249,0.7692307692307693,phase3b_joint_hierarchy
