tau,slice,series,n,sq
39,sco,b24x120,401,35.71157128287853
39,sco,b48x72,401,37.130118881607224
39,sco,b48x96,401,37.48681583213538
39,sco,b48x120,401,38.33114727275549
39,sco,b72x96,401,36.3338097822557
39,sco,b72x120,401,36.99089027264712
39,sco,b96x120,401,37.704451986670016
42,sel,s24,682,47.45964179375916
42,sel,s48,682,46.07623954108521
42,sel,s72,682,43.870785006933914
42,sel,s96,682,48.23312642262482
42,sel,s120,682,50.49011034437454
42,sel,b24x48,682,46.5093920478362
42,sel,b24x72,682,45.08673898526478
42,sel,b24x96,682,46.825232721972135
42,sel,b24x120,682,46.7856709876568
42,sel,b48x72,682,44.54669306442176
42,sel,b48x96,682,46.31527426329002
42,sel,b48x120,682,46.417062177799295
42,sel,b72x96,682,45.55323608198657
42,sel,b72x120,682,45.7825937525251
42,sel,b96x120,682,48.43355490015951
42,sco,s24,401,35.46138961110313
42,sco,s48,401,39.597571857141006
42,sco,s72,401,36.32757878220462
42,sco,s96,401,37.796105176851626
42,sco,s120,401,39.89540926332293
42,sco,b24x48,401,37.12389814480389
42,sco,b24x72,401,35.51536459923736
42,sco,b24x96,401,36.05461304144072
42,sco,b24x120,401,36.775853504019295
42,sco,b48x72,401,37.7098989069556
42,sco,b48x96,401,38.05401609869735
42,sco,b48x120,401,39.171882256337845
42,sco,b72x96,401,36.643536685571156
42,sco,b72x120,401,37.6904612308649
42,sco,b96x120,401,38.277670790507784
45,sel,s24,679,47.447181721908976
45,sel,s48,679,45.797201775018365
45,sel,s72,679,44.97783061529298
45,sel,s96,679,49.81891772094826
45,sel,s120,679,50.3644858858606
45,sel,b24x48,679,46.366755277713
45,sel,b24x72,679,45.574482047573966
45,sel,b24x96,679,47.64310659386302
45,sel,b24x120,679,46.90328463362005
45,sel,b48x72,679,44.92642713028999
45,sel,b48x96,679,46.9487011085354
45,sel,b48x120,679,46.3506006387915
45,sel,b72x96,679,46.78927044131716
45,sel,b72x120,679,46.312202127966295
45,sel,b96x120,679,49.18640169177252
45,sco,s24,401,36.45190023104603
45,sco,s48,401,41.098867754038395
45,sco,s72,401,38.045696817844686
45,sco,s96,401,38.300254265805904
45,sco,s120,401,40.09898681436799
45,sco,b24x48,401,38.38455674555061
45,sco,b24x72,401,36.87783965548775
45,sco,b24x96,401,36.8511422696123
45,sco,b24x120,401,37.42391860635604
45,sco,b48x72,401,39.35880457881466
45,sco,b48x96,401,39.18162725441128
45,sco,b48x120,401,40.049070685880324
45,sco,b72x96,401,37.81273101106213
45,sco,b72x120,401,38.71298611834932
45,sco,b96x120,401,38.690525444154886
