station,lead_h,bin_lo,bin_hi,n,mean_pred,obs_wet_frac,model
Hexworthy,72,0.7000000000000001,0.8,29,0.7417696831434412,0.7931034482758621,phase3a_per_lead
Hexworthy,72,0.8,0.9,29,0.8352217577908544,0.7931034482758621,phase3a_per_lead
Hexworthy,72,0.9,1.0,56,0.9535748847078127,0.625,phase3a_per_lead
Bellever,24,0.0,0.1,578,0.07635521726216801,0.05709342560553633,phase3b_joint_hierarchy
Bellever,24,0.1,0.2,514,0.14672840281041072,0.09922178988326848,phase3b_joint_hierarchy
Bellever,24,0.2,0.30000000000000004,515,0.2336468657646954,0.170873786407767,phase3b_joint_hierarchy
Bellever,24,0.30000000000000004,0.4,45,0.3489655008944845,0.4,phase3b_joint_hierarchy
Bellever,24,0.4,0.5,64,0.45470939005503397,0.484375,phase3b_joint_hierarchy
Bellever,24,0.5,0.6000000000000001,59,0.5336966207575349,0.5423728813559322,phase3b_joint_hierarchy
Bellever,24,0.6000000000000001,0.7000000000000001,29,0.6533294360527895,0.6206896551724138,phase3b_joint_hierarchy
Bellever,24,0.7000000000000001,0.8,49,0.745865756395843,0.5714285714285714,phase3b_joint_hierarchy
Bellever,24,0.8,0.9,34,0.8530882558040187,0.8529411764705882,phase3b_joint_hierarchy
Bellever,24,0.9,1.0,137,0.9745195746682809,0.7956204379562044,phase3b_joint_hierarchy
Bellever,48,0.0,0.1,628,0.0699103219760208,0.06050955414012739,phase3b_joint_hierarchy
Bellever,48,0.1,0.2,499,0.14485163828843758,0.10821643286573146,phase3b_joint_hierarchy
Bellever,48,0.2,0.30000000000000004,464,0.22415309181736093,0.21120689655172414,phase3b_joint_hierarchy
Bellever,48,0.30000000000000004,0.4,46,0.35679606391633734,0.2826086956521739,phase3b_joint_hierarchy
Bellever,48,0.4,0.5,61,0.45171436175038177,0.45901639344262296,phase3b_joint_hierarchy
Bellever,48,0.5,0.6000000000000001,91,0.5435737842303822,0.5054945054945055,phase3b_joint_hierarchy
Bellever,48,0.6000000000000001,0.7000000000000001,41,0.6469832061034824,0.5609756097560976,phase3b_joint_hierarchy
Bellever,48,0.7000000000000001,0.8,21,0.7528451747140591,0.5714285714285714,phase3b_joint_hierarchy
Bellever,48,0.8,0.9,45,0.8401029464560887,0.6,phase3b_joint_hierarchy
Bellever,48,0.9,1.0,128,0.9821420342687133,0.765625,phase3b_joint_hierarchy
Bellever,72,0.0,0.1,1,0.09510587080355526,0.0,phase3b_joint_hierarchy
Bellever,72,0.1,0.2,624,0.15534585422846858,0.057692307692307696,phase3b_joint_hierarchy
Bellever,72,0.2,0.30000000000000004,512,0.24724408793066782,0.177734375,phase3b_joint_hierarchy
Bellever,72,0.30000000000000004,0.4,486,0.33888562506641023,0.1934156378600823,phase3b_joint_hierarchy
Bellever,72,0.4,0.5,112,0.450196806430764,0.4107142857142857,phase3b_joint_hierarchy
Bellever,72,0.5,0.6000000000000001,76,0.5433958817349771,0.5789473684210527,phase3b_joint_hierarchy
Bellever,72,0.6000000000000001,0.7000000000000001,53,0.6402005880346279,0.6226415094339622,phase3b_joint_hierarchy
Bellever,72,0.7000000000000001,0.8,34,0.7543762651381445,0.6764705882352942,phase3b_joint_hierarchy
Bellever,72,0.8,0.9,33,0.8545766025750167,0.7575757575757576,phase3b_joint_hierarchy
Bellever,72,0.9,1.0,59,0.9650529863478232,0.6101694915254238,phase3b_joint_hierarchy
Princetown,24,0.0,0.1,396,0.08141844156875573,0.0707070707070707,phase3b_joint_hierarchy
Princetown,24,0.1,0.2,578,0.14105824011296644,0.12975778546712802,phase3b_joint_hierarchy
Princetown,24,0.2,0.30000000000000004,497,0.23612988313954225,0.18712273641851107,phase3b_joint_hierarchy
Princetown,24,0.30000000000000004,0.4,111,0.3477012560813864,0.34234234234234234,phase3b_joint_hierarchy
Princetown,24,0.4,0.5,107,0.4536138209335844,0.308411214953271,phase3b_joint_hierarchy
Princetown,24,0.5,0.6000000000000001,122,0.5443173285529641,0.4344262295081967,phase3b_joint_hierarchy
Princetown,24,0.6000000000000001,0.7000000000000001,63,0.6486950841676284,0.6031746031746031,phase3b_joint_hierarchy
Princetown,24,0.7000000000000001,0.8,78,0.7588273604069855,0.5128205128205128,phase3b_joint_hierarchy
Princetown,24,0.8,0.9,99,0.8448375544550963,0.6060606060606061,phase3b_joint_hierarchy
Princetown,24,0.9,1.0,463,0.9826545101647625,0.714902807775378,phase3b_joint_hierarchy
Princetown,48,0.0,0.1,529,0.07667914048923224,0.08128544423440454,phase3b_joint_hierarchy
